tech_category,category_description,std_document,bm25_score,relevance,notes
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",China_GBT+38642-2020,28.23,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",China_GBT+38839-2020,29.3,1,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",China_GBT+39266-2020,24.35,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",China_GBT+39360-2020,42.37,1,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",China_GBT+39561.7-2020,28.14,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",China_GBT+45509-2025,0.0,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",EU_AI_Act_Regulation_2024_1689,0.0,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",GBT+34884-2017,0.0,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",GBT+34897-2017,0.0,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",GBT+37414.1-2019,36.93,1,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",GBT+38642-2020,0.0,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",GBT+39360-2020,39.72,1,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",GBT+39404-2020,25.01,0,
Control & Planning,"Motion planning, trajectory generation, kinematics, dynamics, PID control, model predictive control, adaptive control, impedance control.",GBT+39561.7-2020,17.8,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",China_GBT+20868-2024,0.0,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",China_GBT+34897-2017,0.0,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",China_GBT+38336-2019,3.11,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",China_GBT+39360-2020,2.7,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",China_GB_T_AI_Safety_Standard,0.0,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",China_T_CAMETA_001069-2025_人形机器人智能感知与运动控制技术规范_征求意见稿,3.37,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+20867.1-2024,0.0,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+34884-2017,0.0,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+38871-2020,0.0,1,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+39006-2020,1.91,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+39402-2020,0.0,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+39561.7-2020,2.52,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+40576-2021,0.0,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+42983.2-2023,1.42,0,
Manipulation,"End effectors, grippers, robotic arms, material handling, pick and place, grasping, object manipulation, dexterous manipulation.",GBT+45509-2025,0.0,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",China_GBT+34884-2017,8.47,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",China_GBT+38560-2020,8.79,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",China_GBT+38839-2020,10.38,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",China_GBT+39561.7-2020,0.0,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",China_GBT+45501-2025,28.18,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",China_GB_T_36008-2018_协作机器人,7.67,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",China_T_CAMETA_001070-2025_人形机器人性能检测试验方法_征求意见稿,8.58,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",EU_EU_Machinery_Regulation_2023_1230,29.85,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",GBT+20867.1-2024,1.37,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",GBT+34897-2017,5.43,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",GBT+38872-2020,2.38,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",GBT+39266-2020,8.77,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",GBT+39402-2020,0.0,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",GBT+42983.1-2023,3.4,0,
Mobility & Locomotion,"Mobile platforms, AGV, navigation, wheeled robots, legged robots, locomotion, autonomous guided vehicles.",GBT+42983.4-2023,3.27,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",China_GBT+34897-2017,48.07,1,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",China_GBT+37414.2-2020,33.99,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",China_GBT+39463-2020,24.18,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",China_GBT+42983.4-2023,0.0,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",EU_AI_Act_Regulation_2024_1689,24.52,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",EU_EU_Machinery_Regulation_2023_1230,50.97,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+34884-2017,71.64,1,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+34897-2017,41.8,1,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+37414.1-2019,0.0,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+37414.2-2020,34.62,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+38560-2020,0.0,1,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+38642-2020,0.0,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+38871-2020,0.0,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+39007-2020,0.0,0,
Actuation & Joints,"Actuators, motors, servo drives, harmonic drives, gearboxes, transmission mechanisms, joint design, bearings, reducers.",GBT+42983.4-2023,0.0,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GBT+39266-2020,32.71,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GBT+39360-2020,7.44,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GBT+39402-2020,1.65,1,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GBT+39404-2020,30.33,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GBT+42983.1-2023,26.51,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GBT+42983.2-2023,27.5,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GBT+5226.7-2020,13.68,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GB_T_36008-2018_协作机器人,0.0,1,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_GB_T_44253-2024_巡检机器人安全要求,13.92,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",China_T_CAMETA_001070-2025_人形机器人性能检测试验方法_征求意见稿,19.91,1,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",EU_AI_Act_Regulation_2024_1689,71.27,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",GBT+20867.1-2024,10.77,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",GBT+39006-2020,3.83,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",GBT+39007-2020,0.0,0,
Human-Robot Interaction,"Human-robot collaboration, safety-rated monitored stop, hand guiding, speed and separation monitoring, power and force limiting, teach pendants, gesture recognition.",IEEE_Humanoid_Standards_Pathway_Study_2025,89.23,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",China_GBT+39007-2020,28.98,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",China_GBT+39402-2020,11.66,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",China_GBT+40212-2021,108.67,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",China_GBT+40575-2021,29.94,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",China_GB_T_AI_Safety_Standard,0.0,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",China_T_CAMETA_001068-2025_人形机器人机器脑云边端智能协同技术规范_征求意见稿,163.04,1,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",China_T_CAMETA_001069-2025_人形机器人智能感知与运动控制技术规范_征求意见稿,342.01,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",GBT+38642-2020,21.69,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",GBT+38839-2020,2.52,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",GBT+39134-2020,21.54,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",GBT+39360-2020,1.97,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",GBT+39561.7-2020,2.52,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",GBT+40212-2021,4.34,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",GBT+42983.4-2023,17.03,0,
AI & Learning,"Machine learning, reinforcement learning, deep learning, autonomous operation, task and motion planning.",NIST_AI_RMF_1.0_2023,23.03,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GBT+38839-2020,36.96,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GBT+38872-2020,112.03,1,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GBT+39401-2020,134.08,1,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GBT+39404-2020,4.69,1,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GBT+39463-2020,0.29,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GBT+39561.7-2020,4.78,1,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GBT+42983.1-2023,0.29,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",China_GB_T_AI_Safety_Standard,0.0,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",EU_AI_Act_Regulation_2024_1689,42.96,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",GBT+32197-2025,57.35,1,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",GBT+38872-2020,109.71,1,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",GBT+39360-2020,2.62,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",GBT+39402-2020,2.13,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",GBT+42983.1-2023,0.13,0,
Communication,"Industrial communication protocols, OPC UA, EtherCAT, Profinet, data exchange, middleware, robot-to-robot communication, cloud connectivity.",International_ISO_13482-2014_Preview_Personal_Care_Robot_Safety,53.16,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_GBT+37414.1-2019,47.56,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_GBT+38835-2020,80.83,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_GBT+39006-2020,36.82,1,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_GBT+39360-2020,90.96,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_GBT+39404-2020,0.0,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_GBT+42982-2023,101.22,1,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_GBT+42983.4-2023,0.0,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",China_T_CAMETA_001070-2025_人形机器人性能检测试验方法_征求意见稿,38.34,1,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",EU_EU_Machinery_Regulation_2023_1230,162.6,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",GBT+20867.1-2024,28.93,1,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",GBT+38326-2019,0.0,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",GBT+38336-2019,0.0,1,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",GBT+39402-2020,42.94,0,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",GBT+42982-2023,60.22,1,
Safety & Reliability,"Functional safety, risk assessment, protective measures, emergency stop, safety PLC, MTBF, reliability testing, fault analysis.",GBT+42983.1-2023,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",China_GBT+20867.1-2024,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",China_GBT+20868-2024,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",China_GBT+32197-2025,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",China_GBT+39004-2020,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",DB4101T96-2024FDIS,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+39006-2020,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+39401-2020,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+39404-2020,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+39561.7-2020,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+40574-2021,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+42983.3-2023,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+42983.4-2023,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+45501-2025,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",GBT+45509-2025,0.0,0,
Manufacturing & Processing,"Welding, painting, assembly, dispensing, grinding, machining, polishing, cutting, coating, additive manufacturing.",IEEE_Humanoid_Standards_Pathway_Study_2025,36.15,0,
